review_id,product_id,user_id,rating,comment,created_at
1,1,1,2,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel,6/23/2022
2,2,2,3,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor,10/4/2022
3,3,3,3,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel,7/19/2022
4,4,4,4,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a,10/20/2022
5,5,5,1,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan,9/10/2022
6,6,6,5,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec,6/12/2022
7,7,7,2,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum,1/9/2022
8,8,8,2,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus,7/16/2022
9,9,9,3,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in,4/27/2022
10,10,10,2,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque,2/8/2022
11,11,11,4,blandit non interdum in ante vestibulum ante ipsum primis in faucibus,10/24/2022
12,12,12,2,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien,3/22/2022
13,13,13,4,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna,7/1/2022
14,14,14,3,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id,4/29/2022
15,15,15,3,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis,12/9/2022
16,16,16,1,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id,1/21/2022
17,17,17,5,morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh,9/27/2022
18,18,18,5,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,9/3/2022
19,19,19,5,turpis integer aliquet massa id lobortis convallis tortor risus dapibus,8/5/2022
20,20,20,2,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus,11/28/2022
21,21,21,4,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,12/16/2022
22,22,22,3,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a,9/23/2022
23,23,23,2,mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero,2/4/2022
24,24,24,4,augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in,9/15/2022
25,25,25,2,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient,5/8/2022
26,26,26,5,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl,11/16/2022
27,27,27,5,dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id,8/25/2022
28,28,28,1,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id,9/25/2022
29,29,29,2,cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod,11/17/2022
30,30,30,1,nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at,11/14/2022
31,31,31,3,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a,4/30/2022
